,dateFixed,no_of_cases,delayedDate,rainfall,temperature,fixedDate
293,2014-11-06,297,2014-11-06,11.066666666666668,26.400000000000002,2014-11-06
294,2014-11-07,297,2014-11-07,4.6000000000000005,26.933333333333334,2014-11-07
295,2014-11-08,297,2014-11-08,40.800000000000004,27.366666666666664,2014-11-08
296,2014-11-09,213,2014-11-09,11.6,27.53333333333333,2014-11-09
297,2014-11-10,213,2014-11-10,8.933333333333332,27.266666666666666,2014-11-10
298,2014-11-11,213,2014-11-11,9.066666666666666,26.53333333333333,2014-11-11
299,2014-11-12,213,2014-11-12,16.666666666666668,27.03333333333333,2014-11-12
300,2014-11-13,213,2014-11-13,39.53333333333334,27.099999999999998,2014-11-13
301,2014-11-14,213,2014-11-14,3.8666666666666667,27.599999999999998,2014-11-14
302,2014-11-15,213,2014-11-15,5.0,27.166666666666668,2014-11-15
303,2014-11-16,186,2014-11-16,11.466666666666667,26.599999999999998,2014-11-16
304,2014-11-17,186,2014-11-17,13.666666666666666,26.433333333333334,2014-11-17
305,2014-11-18,186,2014-11-18,5.3999999999999995,25.566666666666666,2014-11-18
306,2014-11-19,186,2014-11-19,0.0,27.599999999999998,2014-11-19
307,2014-11-20,186,2014-11-20,5.466666666666666,27.433333333333337,2014-11-20
308,2014-11-21,186,2014-11-21,0.13333333333333333,27.46666666666667,2014-11-21
309,2014-11-22,186,2014-11-22,1.6666666666666667,27.900000000000002,2014-11-22
310,2014-11-23,168,2014-11-23,27.333333333333332,27.233333333333334,2014-11-23
311,2014-11-24,168,2014-11-24,1.7333333333333334,27.366666666666664,2014-11-24
312,2014-11-25,168,2014-11-25,3.3333333333333335,27.666666666666668,2014-11-25
313,2014-11-26,168,2014-11-26,32.53333333333334,27.166666666666668,2014-11-26
314,2014-11-27,168,2014-11-27,4.133333333333334,27.599999999999998,2014-11-27
315,2014-11-28,168,2014-11-28,9.4,27.866666666666664,2014-11-28
316,2014-11-29,168,2014-11-29,16.8,26.366666666666664,2014-11-29
317,2014-11-30,158,2014-11-30,0.0,27.866666666666664,2014-11-30
318,2014-12-01,158,2014-12-01,18.799999999999997,26.5,2014-12-01
319,2014-12-02,158,2014-12-02,0.0,28.066666666666666,2014-12-02
